광물,가격,단위,등락률,상태,수집일시
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 16:57:11
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 16:57:11
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 16:57:11
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 16:57:11
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 16:57:11
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 16:57:20
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 16:57:20
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 16:57:20
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 16:57:20
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 16:57:20
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 16:57:26
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 16:57:26
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 16:57:26
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 16:57:26
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 16:57:26
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:00:57
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:00:57
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:00:57
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:00:57
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:00:57
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:00:59
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:00:59
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:00:59
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:00:59
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:00:59
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:00:59
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:00:59
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:00:59
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:00:59
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:00:59
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:00
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:00
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:00
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:00
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:00
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:00
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:00
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:00
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:00
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:00
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:00
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:00
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:00
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:00
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:00
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:01
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:01
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:01
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:01
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:01
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:01
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:01
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:01
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:01
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:01
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:01
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:01
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:01
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:01
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:01
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:01
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:01
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:01
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:01
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:01
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:03
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:03
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:03
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:03
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:03
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:05
니켈 (Nickel),18450.0,USD/t,3.12,주의,2026-05-27 17:01:05
구리 (Copper),9845.0,USD/t,-1.23,안정,2026-05-27 17:01:05
알루미늄 (Aluminum),2567.0,USD/t,0.45,주의,2026-05-27 17:01:05
철광석 (Iron Ore),112.4,USD/t,-2.15,안정,2026-05-27 17:01:05
리튬 (Lithium),123500.0,CNY/t,8.21,위험,2026-05-27 17:01:06
